episode,step,date,action_idx,action_val,reward,state_week_idx,state_progress,state_N_cum,state_apps_remaining,state_DVS,state_LAI,state_TAGP,state_prev_action
1,0,2020-04-21,0,0.0,,0.0,0.0,0.0,4.0,-0.1,0.07241999999999998,59.99999999999999,0.0
1,1,2020-04-28,0,0.0,0.0,1.0,0.043478260869565216,0.0,4.0,-0.07203921568627451,0.07241999999999998,59.99999999999999,0.0
1,2,2020-05-05,1,30.0,-15.0,2.0,0.08695652173913043,0.0,4.0,-0.04782352941176471,0.07241999999999998,59.99999999999999,0.0
1,3,2020-05-12,0,0.0,0.0,3.0,0.13043478260869565,30.0,3.0,-0.02233333333333334,0.07241999999999998,59.99999999999999,30.0
1,4,2020-05-19,1,30.0,7.897444171977327,4.0,0.17391304347826086,30.0,3.0,-0.00549019607843138,0.07241999999999998,59.99999999999999,0.0
1,5,2020-05-26,0,0.0,89.06991959211257,5.0,0.21739130434782608,60.0,2.0,0.33378378378378376,0.17067484717896145,136.26752933407624,30.0
1,6,2020-06-02,0,0.0,190.12951352219125,6.0,0.2608695652173913,60.0,2.0,0.7536036036036036,0.7362533844408928,518.3524751416678,0.0
1,7,2020-06-09,0,0.0,224.8492619639187,7.0,0.30434782608695654,60.0,2.0,1.0119047619047619,2.028776217821053,1433.9625946611911,0.0
1,8,2020-06-16,0,0.0,289.39557634165703,8.0,0.34782608695652173,60.0,2.0,1.0646190476190478,3.499725110735043,2874.664454931302,0.0
1,9,2020-06-23,0,0.0,235.48684831278842,9.0,0.391304347826087,60.0,2.0,1.117666666666667,4.434717649771929,4755.853667487394,0.0
1,10,2020-06-30,0,0.0,228.63739236182118,10.0,0.43478260869565216,60.0,2.0,1.179214285714286,4.57388442118379,6477.37418110844,0.0
1,11,2020-07-07,0,0.0,177.0514393771973,11.0,0.4782608695652174,60.0,2.0,1.231166666666667,4.410511407335564,7947.220857732389,0.0
1,12,2020-07-14,0,0.0,157.00277373885365,12.0,0.5217391304347826,60.0,2.0,1.275309523809524,4.22494993641977,9230.255958952905,0.0
1,13,2020-07-21,0,0.0,84.22860300358116,13.0,0.5652173913043478,60.0,2.0,1.3269285714285717,4.012941628878004,10331.483756453166,0.0
1,14,2020-07-28,0,0.0,132.17881604738977,14.0,0.6086956521739131,60.0,2.0,1.379119047619048,3.7646505102560877,11260.018122959435,0.0
1,15,2020-08-04,0,0.0,54.21140014508819,15.0,0.6521739130434783,60.0,2.0,1.4361428571428574,3.4816908562310958,12095.595766940516,0.0
1,16,2020-08-11,0,0.0,126.10785131916418,16.0,0.6956521739130435,60.0,2.0,1.5070714285714288,3.1751678258001204,12604.79429848671,0.0
1,17,2020-08-18,2,60.0,48.50005231927935,17.0,0.7391304347826086,60.0,2.0,1.582071428571429,2.113502747469861,13200.596654630896,0.0
1,18,2020-08-25,1,30.0,39.72823690190489,18.0,0.782608695652174,120.0,1.0,1.643809523809524,0.9994340399959991,13836.934882990092,60.0
1,19,2020-09-01,1,30.0,48.905614540619354,19.0,0.8260869565217391,150.0,0.0,1.6901666666666668,0.6709389896308319,14198.293304307903,30.0
1,20,2020-09-08,1,30.0,16.73808053614266,20.0,0.8695652173913043,150.0,0.0,1.7337380952380956,0.5310586024132528,14521.476883397874,0.0
1,21,2020-09-15,0,0.0,18.89062046040999,21.0,0.9130434782608695,150.0,0.0,1.78202380952381,0.4140342095885244,14730.298839000778,0.0
1,22,2020-09-22,1,30.0,10.690050605066062,22.0,0.9565217391304348,150.0,0.0,1.8332142857142866,0.3349900159199212,14843.025353123818,0.0
2,0,2020-04-21,0,0.0,,0.0,0.0,0.0,4.0,-0.1,0.07241999999999998,59.99999999999999,0.0
2,1,2020-04-28,0,0.0,0.0,1.0,0.043478260869565216,0.0,4.0,-0.07203921568627451,0.07241999999999998,59.99999999999999,0.0
2,2,2020-05-05,0,0.0,0.0,2.0,0.08695652173913043,0.0,4.0,-0.04782352941176471,0.07241999999999998,59.99999999999999,0.0
2,3,2020-05-12,1,30.0,-15.0,3.0,0.13043478260869565,0.0,4.0,-0.02233333333333334,0.07241999999999998,59.99999999999999,0.0
2,4,2020-05-19,0,0.0,22.897444171977327,4.0,0.17391304347826086,30.0,3.0,-0.00549019607843138,0.07241999999999998,59.99999999999999,30.0
2,5,2020-05-26,0,0.0,89.06991959211257,5.0,0.21739130434782608,30.0,3.0,0.33378378378378376,0.17067484717896145,136.26752933407624,0.0
2,6,2020-06-02,0,0.0,190.12951352219125,6.0,0.2608695652173913,30.0,3.0,0.7536036036036036,0.7362533844408928,518.3524751416678,0.0
2,7,2020-06-09,0,0.0,224.18492780326778,7.0,0.30434782608695654,30.0,3.0,1.0119047619047619,2.028776217821053,1433.9625946611911,0.0
2,8,2020-06-16,0,0.0,280.83329996844986,8.0,0.34782608695652173,30.0,3.0,1.0646190476190478,3.4981882076260087,2872.952870315638,0.0
2,9,2020-06-23,0,0.0,232.9727860897865,9.0,0.391304347826087,30.0,3.0,1.117666666666667,4.418023973215258,4721.63468723854,0.0
2,10,2020-06-30,0,0.0,226.2369669190257,10.0,0.43478260869565216,30.0,3.0,1.179214285714286,4.553408486611915,6407.001533183337,0.0
2,11,2020-07-07,0,0.0,174.62068497745167,11.0,0.4782608695652174,30.0,3.0,1.231166666666667,4.395298004052352,7865.429547577444,0.0
2,12,2020-07-14,0,0.0,154.7409063087125,12.0,0.5217391304347826,30.0,3.0,1.275309523809524,4.213597613063651,9137.485703161887,0.0
2,13,2020-07-21,0,0.0,83.90485646736488,13.0,0.5652173913043478,30.0,3.0,1.3269285714285717,4.003377875995215,10228.48506781473,0.0
2,14,2020-07-28,0,0.0,130.35826430228008,14.0,0.6086956521739131,30.0,3.0,1.379119047619048,3.7553273208462645,11146.919411287046,0.0
2,15,2020-08-04,0,0.0,52.48585162210111,15.0,0.6521739130434783,30.0,3.0,1.4361428571428574,3.4723838900309776,11969.166549007778,0.0
2,16,2020-08-11,0,0.0,121.93170169812947,16.0,0.6956521739130435,30.0,3.0,1.5070714285714288,3.1659226787169854,12465.128866503479,0.0
2,17,2020-08-18,0,0.0,64.03703727332686,17.0,0.7391304347826086,30.0,3.0,1.582071428571429,2.0804054215670074,13043.078824998618,0.0
2,18,2020-08-25,0,0.0,41.524753341076575,18.0,0.782608695652174,30.0,3.0,1.643809523809524,0.9795256468883342,13612.648712172526,0.0
2,19,2020-09-01,0,0.0,33.6175814320668,19.0,0.8260869565217391,30.0,3.0,1.6901666666666668,0.6472409684048875,13898.99788798728,0.0
2,20,2020-09-08,0,0.0,5.3781782036494405,20.0,0.8695652173913043,30.0,3.0,1.7337380952380956,0.5035499716520333,14125.097683190677,0.0
2,21,2020-09-15,0,0.0,10.005900572923565,21.0,0.9130434782608695,30.0,3.0,1.78202380952381,0.3825501378937271,14254.323916750767,0.0
2,22,2020-09-22,0,0.0,4.021649080656061,22.0,0.9565217391304348,30.0,3.0,1.8332142857142866,0.3005543378680435,14303.699015092501,0.0
3,0,2020-04-21,0,0.0,,0.0,0.0,0.0,4.0,-0.1,0.07241999999999998,59.99999999999999,0.0
3,1,2020-04-28,0,0.0,0.0,1.0,0.043478260869565216,0.0,4.0,-0.07203921568627451,0.07241999999999998,59.99999999999999,0.0
3,2,2020-05-05,2,60.0,-30.0,2.0,0.08695652173913043,0.0,4.0,-0.04782352941176471,0.07241999999999998,59.99999999999999,0.0
3,3,2020-05-12,0,0.0,0.0,3.0,0.13043478260869565,60.0,3.0,-0.02233333333333334,0.07241999999999998,59.99999999999999,60.0
3,4,2020-05-19,1,30.0,7.897444171977327,4.0,0.17391304347826086,60.0,3.0,-0.00549019607843138,0.07241999999999998,59.99999999999999,0.0
3,5,2020-05-26,0,0.0,89.06991959211257,5.0,0.21739130434782608,90.0,2.0,0.33378378378378376,0.17067484717896145,136.26752933407624,30.0
3,6,2020-06-02,0,0.0,190.12951352219125,6.0,0.2608695652173913,90.0,2.0,0.7536036036036036,0.7362533844408928,518.3524751416678,0.0
3,7,2020-06-09,2,60.0,194.8492619639187,7.0,0.30434782608695654,90.0,2.0,1.0119047619047619,2.028776217821053,1433.9625946611911,0.0
3,8,2020-06-16,0,0.0,290.6640720135838,8.0,0.34782608695652173,150.0,1.0,1.0646190476190478,3.499725110735043,2874.664454931302,60.0
3,9,2020-06-23,0,0.0,239.2904749240006,9.0,0.391304347826087,150.0,1.0,1.117666666666667,4.437466135630415,4761.495771400918,0.0
3,10,2020-06-30,0,0.0,234.86261945203023,10.0,0.43478260869565216,150.0,1.0,1.179214285714286,4.583040012132233,6514.380744046983,0.0
3,11,2020-07-07,0,0.0,185.21733601033884,11.0,0.4782608695652174,150.0,1.0,1.231166666666667,4.419517198571347,8009.231579856649,0.0
3,12,2020-07-14,0,0.0,162.27057477891867,12.0,0.5217391304347826,150.0,1.0,1.275309523809524,4.234182657541185,9326.231262147585,0.0
3,13,2020-07-21,0,0.0,84.57200776385434,13.0,0.5652173913043478,150.0,1.0,1.3269285714285717,4.022371604431607,10456.2372917738,0.0
3,14,2020-07-28,0,0.0,133.2598528552371,14.0,0.6086956521739131,150.0,1.0,1.379119047619048,3.7744320549090453,11402.047888526095,0.0
3,15,2020-08-04,0,0.0,54.724462453645174,15.0,0.6521739130434783,150.0,1.0,1.4361428571428574,3.4912577031425474,12248.247714593585,0.0
3,16,2020-08-11,0,0.0,128.64846579054029,16.0,0.6956521739130435,150.0,1.0,1.5070714285714288,3.1841618981948274,12762.693539072616,0.0
3,17,2020-08-18,0,0.0,73.87835243086374,17.0,0.7391304347826086,150.0,1.0,1.582071428571429,2.157134991243815,13366.538121702344,0.0
3,18,2020-08-25,0,0.0,48.14253694660147,18.0,0.782608695652174,150.0,1.0,1.643809523809524,1.0277278298592039,13999.409674140064,0.0
3,19,2020-09-01,0,0.0,40.82685703277457,19.0,0.8260869565217391,150.0,1.0,1.6901666666666668,0.6785380659658578,14328.378905415539,0.0
3,20,2020-09-08,0,0.0,11.268574965077278,20.0,0.8695652173913043,150.0,1.0,1.7337380952380956,0.5320973748539487,14600.876351242925,0.0
3,21,2020-09-15,0,0.0,15.629493362503126,21.0,0.9130434782608695,150.0,1.0,1.78202380952381,0.40930343981581296,14770.923586178404,0.0
3,22,2020-09-22,0,0.0,8.348229246748815,22.0,0.9565217391304348,150.0,1.0,1.8332142857142866,0.3263823921119571,14857.070766035547,0.0
4,0,2020-04-21,0,0.0,,0.0,0.0,0.0,4.0,-0.1,0.07241999999999998,59.99999999999999,0.0
4,1,2020-04-28,0,0.0,0.0,1.0,0.043478260869565216,0.0,4.0,-0.07203921568627451,0.07241999999999998,59.99999999999999,0.0
4,2,2020-05-05,3,90.0,-45.0,2.0,0.08695652173913043,0.0,4.0,-0.04782352941176471,0.07241999999999998,59.99999999999999,0.0
4,3,2020-05-12,0,0.0,0.0,3.0,0.13043478260869565,90.0,3.0,-0.02233333333333334,0.07241999999999998,59.99999999999999,90.0
4,4,2020-05-19,1,30.0,7.897444171977327,4.0,0.17391304347826086,90.0,3.0,-0.00549019607843138,0.07241999999999998,59.99999999999999,0.0
4,5,2020-05-26,0,0.0,89.06991959211257,5.0,0.21739130434782608,120.0,2.0,0.33378378378378376,0.17067484717896145,136.26752933407624,30.0
4,6,2020-06-02,0,0.0,190.12951352219125,6.0,0.2608695652173913,120.0,2.0,0.7536036036036036,0.7362533844408928,518.3524751416678,0.0
4,7,2020-06-09,2,60.0,194.8492619639187,7.0,0.30434782608695654,120.0,2.0,1.0119047619047619,2.028776217821053,1433.9625946611911,0.0
4,8,2020-06-16,0,0.0,290.6640720135838,8.0,0.34782608695652173,180.0,1.0,1.0646190476190478,3.499725110735043,2874.664454931302,60.0
4,9,2020-06-23,0,0.0,239.31142140293287,9.0,0.391304347826087,180.0,1.0,1.117666666666667,4.437466135630415,4761.495771400918,0.0
4,10,2020-06-30,0,0.0,235.11529539693038,10.0,0.43478260869565216,180.0,1.0,1.179214285714286,4.583043908177315,6514.401690525915,0.0
4,11,2020-07-07,0,0.0,185.71136226100862,11.0,0.4782608695652174,180.0,1.0,1.231166666666667,4.419588878500568,8009.895102852892,0.0
4,12,2020-07-14,0,0.0,164.68731146111168,12.0,0.5217391304347826,180.0,1.0,1.275309523809524,4.2343768111347835,9328.53781270544,0.0
4,13,2020-07-21,0,0.0,85.61183468165291,13.0,0.5652173913043478,180.0,1.0,1.3269285714285717,4.022991570355809,10465.013143269105,0.0
4,14,2020-07-28,0,0.0,135.5908970798373,14.0,0.6086956521739131,180.0,1.0,1.379119047619048,3.776089800080256,11426.531456121917,0.0
4,15,2020-08-04,0,0.0,56.1798897204244,15.0,0.6521739130434783,180.0,1.0,1.4361428571428574,3.4943594768879276,12295.929590789554,0.0
4,16,2020-08-11,0,0.0,130.80459228186373,16.0,0.6956521739130435,180.0,1.0,1.5070714285714288,3.187932514406241,12824.53934050304,0.0
4,17,2020-08-18,0,0.0,75.74034384333027,17.0,0.7391304347826086,180.0,1.0,1.582071428571429,2.1859107318169464,13439.360768332866,0.0
4,18,2020-08-25,0,0.0,50.54202653673383,18.0,0.782608695652174,180.0,1.0,1.643809523809524,1.037673434264898,14091.134721036538,0.0
4,19,2020-09-01,0,0.0,43.16785666500073,19.0,0.8260869565217391,180.0,1.0,1.6901666666666668,0.6912076552517731,14434.13457785388,0.0
4,20,2020-09-08,0,0.0,13.374056909049614,20.0,0.8695652173913043,180.0,1.0,1.7337380952380956,0.5433181518140902,14722.607432930141,0.0
4,21,2020-09-15,0,0.0,17.766572097460084,21.0,0.9130434782608695,180.0,1.0,1.78202380952381,0.42102121518669333,14906.671318149878,0.0
4,22,2020-09-22,0,0.0,10.117040260151043,22.0,0.9565217391304348,180.0,1.0,1.8332142857142866,0.33806637238697085,15007.178472180576,0.0
5,0,2020-04-21,0,0.0,,0.0,0.0,0.0,4.0,-0.1,0.07241999999999998,59.99999999999999,0.0
5,1,2020-04-28,0,0.0,0.0,1.0,0.043478260869565216,0.0,4.0,-0.07203921568627451,0.07241999999999998,59.99999999999999,0.0
5,2,2020-05-05,0,0.0,0.0,2.0,0.08695652173913043,0.0,4.0,-0.04782352941176471,0.07241999999999998,59.99999999999999,0.0
5,3,2020-05-12,0,0.0,0.0,3.0,0.13043478260869565,0.0,4.0,-0.02233333333333334,0.07241999999999998,59.99999999999999,0.0
5,4,2020-05-19,0,0.0,22.897444171977327,4.0,0.17391304347826086,0.0,4.0,-0.00549019607843138,0.07241999999999998,59.99999999999999,0.0
5,5,2020-05-26,0,0.0,89.06991959211257,5.0,0.21739130434782608,0.0,4.0,0.33378378378378376,0.17067484717896145,136.26752933407624,0.0
5,6,2020-06-02,0,0.0,190.12951352219125,6.0,0.2608695652173913,0.0,4.0,0.7536036036036036,0.7362533844408928,518.3524751416678,0.0
5,7,2020-06-09,0,0.0,215.41199723038608,7.0,0.30434782608695654,0.0,4.0,1.0119047619047619,2.028776217821053,1433.9625946611911,0.0
5,8,2020-06-16,0,0.0,269.3399869666391,8.0,0.34782608695652173,0.0,4.0,1.0646190476190478,3.4600110280129845,2832.760270373179,0.0
5,9,2020-06-23,0,0.0,225.21241768013533,9.0,0.391304347826087,0.0,4.0,1.117666666666667,4.3453545966925935,4597.64015185895,0.0
5,10,2020-06-30,0,0.0,215.00422816004993,10.0,0.43478260869565216,0.0,4.0,1.179214285714286,4.487245189779529,6216.416984707417,0.0
5,11,2020-07-07,0,0.0,161.02313780413715,11.0,0.4782608695652174,0.0,4.0,1.231166666666667,4.34537712550976,7624.256360071816,0.0
5,12,2020-07-14,0,0.0,140.63280223192487,12.0,0.5217391304347826,0.0,4.0,1.275309523809524,4.173383326896994,8831.112331831084,0.0
5,13,2020-07-21,0,0.0,78.8733919023507,13.0,0.5652173913043478,0.0,4.0,1.3269285714285717,3.967566873168459,9849.623300260944,0.0
5,14,2020-07-28,0,0.0,117.7605715214886,14.0,0.6086956521739131,0.0,4.0,1.379119047619048,3.7179536527137276,10694.012450343453,0.0
5,15,2020-08-04,0,0.0,41.61121063075916,15.0,0.6521739130434783,0.0,4.0,1.4361428571428574,3.4324090948159354,11426.417480596527,0.0
5,16,2020-08-11,0,0.0,97.30496854410194,16.0,0.6956521739130435,0.0,4.0,1.5070714285714288,3.1242996811817036,11838.96111990144,0.0
5,17,2020-08-18,0,0.0,47.21664168135794,17.0,0.7391304347826086,0.0,4.0,1.582071428571429,1.9784842620937868,12306.847267343905,0.0
5,18,2020-08-25,0,0.0,29.218214945463842,18.0,0.782608695652174,0.0,4.0,1.643809523809524,0.9117730379075123,12734.784233300405,0.0
5,19,2020-09-01,2,60.0,5.748484115487372,19.0,0.8260869565217391,0.0,4.0,1.6901666666666668,0.5880452425580397,12943.548537736864,0.0
5,20,2020-09-08,0,0.0,11.683278691116357,20.0,0.8695652173913043,60.0,3.0,1.7337380952380956,0.4467385949327128,13130.79848672646,60.0
5,21,2020-09-15,0,0.0,11.79156045302625,21.0,0.9130434782608695,60.0,3.0,1.78202380952381,0.3347796097446399,13295.119478718467,0.0
5,22,2020-09-22,0,0.0,4.425482719227148,22.0,0.9565217391304348,60.0,3.0,1.8332142857142866,0.25976463974596203,13365.298930139154,0.0
